Major,STEM
Japanese Language and Literature,0
Japanese Studies,0
Jazz/Jazz Studies,0
Jewish/Judaic Studies,0
Job-Seeking/Changing Skills,0
"Joint Command/Task Force (C3, C4I) Systems",1
Joint Operations Planning and Strategy,0
Journalism,0
Junior High/Intermediate/Middle School Education and Teaching,0
Juvenile Corrections,0
Keyboard Instruments,0
Khmer/Cambodian Language and Literature,0
Kindergarten/Preschool Education and Teaching,0
Kinesiology and Exercise Science,0
Kinesiotherapy/Kinesiotherapist,0
Knowledge Management,0
Korean Language and Literature,0
Korean Studies,0
Labor Studies,0
Labor and Industrial Relations,0
Laboratory Medicine,0
Lactation Consultant,0
Land Use Planning and Management/Development,0
Landscape Architecture,0
Landscaping and Groundskeeping,0
Language Interpretation and Translation,0
Lao Language and Literature,0
Large Animal/Food Animal and Equine Surgery and Medicine,0
Laser and Optical Engineering,1
Laser and Optical Technology,1
Latin American Studies,0
Latin American and Caribbean Studies,0
Latin Language and Literature,0
Latin Teacher Education,0
Law,0
Law Enforcement Intelligence Analysis,0
Law Enforcement Investigation and Interviewing,0
Law Enforcement Record-Keeping and Evidence Management,0
Lay Ministry,0
Learning Sciences,0
Leatherworking and Upholstery,0
Legal Administrative Assistant/Secretary,0
Legal Assistant/Paralegal,0
Legal Professions And Studies,0
Legal Professions and Studies,0
Legal Research and Advanced Professional Studies,0
Legal Studies,0
Legal Support Services,0
Leisure And Recreational Activities,0
Leisure and Recreational Activities,0
"Liberal Arts And Sciences, General Studies And Humanities",0
Liberal Arts and Sciences Studies and Humanities,0
Liberal Arts and Sciences/Liberal Studies,0
Library Science,0
Library Science and Administration,0
Library and Archives Assisting,0
Library and Information Science,0
Licensed Practical/Vocational Nurse Training,0
"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert, Dipl, AAS)",0
Lineworker,0
"Linguistic, Comparative, and Related Language Studies and Services",0
Linguistics,0
Linguistics of ASL and Other Sign Languages,0
Literature,0
Livestock Management,1
Locksmithing and Safe Repair,0
Logic,0
"Logistics, Materials, and Supply Chain Management",0
Long Term Care Administration/Management,0
Low-Observables and Stealth Technology,1
Machine Shop Technology/Assistant,0
Machine Tool Technology/Machinist,0
Magnetic Resonance Imaging (MRI) Technology,0
Make-Up Artist/Specialist,0
Mammography Technician/Technology,0
Management Information Systems,0
Management Information Systems and Services,0
Management Science,1
Management Science and Quantitative Methods,1
Manufacturing Engineering,1
Manufacturing Engineering Technology,1
Marine Biology and Biological Oceanography,1
Marine Maintenance/Fitter and Ship Repair Technology,0
Marine Science/Merchant Marine Officer,0
Marine Sciences,1
Marine Transportation,0
Maritime Law Enforcement,0
Maritime Studies,0
Marketing,0
Marketing Research,0
Marketing/Marketing Management,0
Marriage and Family Therapy/Counseling,0
Mason/Masonry,0
Mass Communication/Media Studies,0
Massage Therapy/Therapeutic Massage,0
Master Aesthetician/Esthetician,0
Materials Chemistry,1
Materials Engineering,1
Materials Science,1
Materials Sciences,1
Maternal and Child Health,0
Maternal/Child Health and Neonatal Nurse/Nursing,0
Mathematical Biology,1
Mathematical Statistics and Probability,1
Mathematics,1
Mathematics And Statistics,0
Mathematics Teacher Education,0
Mathematics and Computer Science,1
Mathematics and Statistics,1
Meat Cutting/Meat Cutter,0
Mechanic And Repair Technologies/Technicians,0
Mechanic and Repair Technologies,0
Mechanical Drafting and Mechanical Drafting CAD/CADD,1
Mechanical Engineering,1
Mechanical Engineering Related Technologies,1
Mechanical Engineering/Mechanical Technology,1
Mechanics and Repairers,0
"Mechatronics, Robotics, and Automation Engineering",1
Medical Administrative/Executive Assistant and Medical Secretary,0
Medical Anthropology,0
Medical Clinical Sciences/Graduate Medical Studies,0
Medical Illustration and Informatics,0
Medical Illustration/Medical Illustrator,0
Medical Informatics,1
Medical Insurance Coding Specialist/Coder,0
Medical Insurance Specialist/Medical Biller,0
Medical Microbiology and Bacteriology,1
Medical Office Assistant/Specialist,0
Medical Office Computer Specialist/Assistant,0
Medical Office Management/Administration,0
Medical Radiologic Technology/Science - Radiation Therapist,0
Medical Reception/Receptionist,0
Medical Scientist,1
Medical Staff Services Technology,0
Medical Transcription/Transcriptionist,0
Medical/Clinical Assistant,0
Medical/Health Management and Clinical Assistant/Specialist,0
Medication Aide,0
Medicinal and Pharmaceutical Chemistry,1
Medicine,0
Medieval and Renaissance Studies,0
Medium/Heavy Vehicle and Truck Technology,0
Meeting and Event Planning,0
Mental Health Counseling/Counselor,0
Mental and Social Health Services and Allied Professions,0
Merchandising and Buying Operations,0
Metal Building Assembly/Assembler,0
Metal Fabricator,0
Metal and Jewelry Arts,0
Metallurgical Engineering,1
Metallurgical Technology,1
Meteorology,1
Microbial and Eukaryotic Genetics,1
Microbiological Sciences and Immunology,1
Microbiology,1
Microbiology and Immunology,1
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics",0
Military Applied Sciences,1
Military Economics and Management,0
Military History,0
Military Information Systems Technology,1
Military Installation Management,0
Military Operational Art and Science/Studies,0
Military Science and Operational Studies,0
"Military Science, Leadership And Operational Art",0
"Military Science, Leadership and Operational Art",0
Military Systems and Maintenance Technology,1
Military Technologies,0
Military Technologies And Applied Sciences,0
Military Technologies and Applied Sciences,1
Military and International Operational Law,0
Military and Strategic Leadership,0
Mining Technology,1
Mining and Mineral Engineering,1
Mining and Petroleum Technologies,1
Missile and Space Systems Technology,1
Missions/Missionary Studies and Missiology,0
Mobil Crane Operation/Operator,0
"Modeling, Virtual Environments and Simulation",1
Modern Greek Language and Literature,0
Molecular Biochemistry,1
Molecular Biology,1
Molecular Biophysics,1
Molecular Genetics,1
Molecular Medicine,1
Molecular Pharmacology,1
Molecular Physiology,1
Molecular Toxicology,1
Mongolian Language and Literature,0
Montessori Teacher Education,0
Mortuary Science and Embalming/Embalmer,0
Motorcycle Maintenance and Repair Technology,0
Movement Therapy and Movement Education,0
Movement and Mind-Body Therapies and Education,0
Multi-/Interdisciplinary Studies,0
Multi/Interdisciplinary Studies,0
Multicultural Education,0
Munitions Systems/Ordinance Technology,1
Musculoskeletal Oncology,0
Museology/Museum Studies,0
Music,0
"Music History, Literature, and Theory",0
Music Management,0
Music Management and Merchandising,0
Music Pedagogy,0
Music Performance,0
Music Teacher Education,0
Music Technology,0
Music Theory and Composition,0
Music Therapy/Therapist,0
Musical Instrument Fabrication and Repair,0
Musical Theatre,0
Musicology and Ethnomusicology,0
Mycology,1
Nail Technician/Specialist and Manicurist,0
Nanotechnology,1
National Resource Strategy and Policy,0
National Security Policy Studies,0
National Security Policy and Strategy,0
Natural Products Chemistry and Pharmacognosy,1
Natural Resource Economics,0
Natural Resource Recreation and Tourism,0
Natural Resources And Conservation,0
Natural Resources Conservation and Research,1
Natural Resources Law Enforcement and Protective Services,0
Natural Resources Management and Policy,0
Natural Resources and Conservation,0
Natural Resources/Conservation,1
Natural Sciences,1
Nature Appreciation,0
Naturopathic Medicine/Naturopathy,0
Naval Architecture and Marine Engineering,1
Naval Science and Operational Studies,1
Navy/Marine Corps JROTC/ROTC,0
"Navy/Marine Corps ROTC, Naval Science and Operations",0
"Navy/Marine ROTC, Naval Science and Operations",0
Near and Middle Eastern Studies,0
Neonatal-Perinatal Medicine,0
Nephrology,0
Network and System Administration/Administrator,1
Neuroanatomy,1
Neurobiology and Anatomy,1
Neurobiology and Behavior,1
Neurobiology and Neurophysiology,0
Neurobiology and Neurosciences,1
Neurological Surgery/Neurosurgery,0
Neurology,0
Neuropathology,0
Neuropharmacology,1
Neuroscience,1
Non-Professional General Legal Studies (Undergraduate),0
Non-Profit/Public/Organizational Management,0
Norwegian Language and Literature,0
Nuclear Engineering,1
Nuclear Engineering Technologies,0
Nuclear Engineering Technology,1
Nuclear Medical Technology/Technologist,0
Nuclear Medicine,0
Nuclear Physics,1
Nuclear Radiology,0
Nuclear and Industrial Radiologic Technologies,1
Nuclear/Nuclear Power Technology,1
Nurse Anesthetist,0
Nurse Midwife/Nursing Midwifery,0
Nurse/Nursing Assistant/Aide and Patient Care Assistant,0
Nursing,0
Nursing Administration,0
"Nursing Administration (MSN, MS, PhD)",0
Nursing Assistant/Aide and Patient Care Assistant/Aide,0
Nursing Education,0
Nursing Practice,0
Nursing Science,0
"Nursing Science (MS, PhD)",0
"Nursing/Registered Nurse (RN, ASN, BSN, MSN)",0
Nutrition Sciences,1
Obstetrics and Gynecology,0
Occupational Health and Industrial Hygiene,0
Occupational Medicine,0
Occupational Safety and Health Technology,1
Occupational Therapist Assistant,0
Occupational Therapy/Therapist,0
Occupational and Environmental Health Nursing,0
Ocean Engineering,1
"Oceanography, Chemical and Physical",1
Office Management and Supervision,0
Oncology,0
Oncology and Cancer Biology,1
Operational Oceanography,1
Operations Management and Supervision,0
Operations Research,1
Ophthalmic Laboratory Technology,0
Ophthalmic Technician/Technologist,0
Ophthalmic and Optometric Support Services and Allied Professions,0
Ophthalmology,0
Opticianry/Ophthalmic Dispensing Optician,0
Optics/Optical Sciences,1
Optometric Technician/Assistant,0
Optometry,0
Oral Biology and Oral and Maxillofacial Pathology,0
Oral/Maxillofacial Surgery,0
Organic Chemistry,1
Organizational Behavior Studies,0
Organizational Communication,0
Organizational Leadership,0
Ornamental Horticulture,0
Orthodontics/Orthodontology,0
Orthopedic Surgery of the Spine,0
Orthopedics/Orthopedic Surgery,0
Orthoptics/Orthoptist,0
Orthotist/Prosthetist,0
Osteopathic Medicine/Osteopathy,0
Otolaryngology,0
Outdoor Education,0
Pacific Area/Pacific Rim Studies,0
Packaging Science,1
Painting,0
Painting/Painter and Wall Coverer,0
Paleontology,1
Palliative Care Nursing,0
Paper Science and Engineering,1
Parasitology,1
"Parks, Recreation and Leisure Facilities Management",0
"Parks, Recreation and Leisure Studies",0
"Parks, Recreation, Leisure, And Fitness Studies",0
"Parks, Recreation, Leisure, and Fitness Studies",0
Parts and Warehousing Operations and Maintenance Technology,0
"Parts, Warehousing, and Inventory Management Operations",0
Pastoral Counseling and Specialized Ministries,0
Pastoral Studies/Counseling,0
Pathology,0
Pathology/Experimental Pathology,1
Pathology/Pathologist Assistant,0
Peace Studies and Conflict Resolution,0
Pediatric Cardiology,0
Pediatric Dentistry/Pedodontics,0
Pediatric Endocrinology,0
Pediatric Hemato-Oncology,0
Pediatric Nephrology,0
Pediatric Nurse/Nursing,0
Pediatric Orthopedics,0
Pediatric Surgery,0
Pediatric Urology,0
Pediatrics,0
Percussion Instruments,0
Perfusion Technology/Perfusionist,0
Periodontics/Periodontology,0
Perioperative/Operating Room and Surgical Nurse/Nursing,0
Permanent Cosmetics/Makeup and Tattooing,0
Personal And Culinary Services,0
Personal Awareness And Self-Improvement,0
Personal Awareness and Self-Improvement,0
Personal Decision-Making Skills,0
Personal Health Improvement and Maintenance,0
Personal and Culinary Services,0
Personality Psychology,1
Pet Ownership and Care,0
Petroleum Engineering,1
Petroleum Technology,1
Pharmaceutical Marketing and Management,0
Pharmaceutical Sciences,1
Pharmaceutics and Drug Design,1
Pharmacoeconomics/Pharmaceutical Economics,1
Pharmacology,1
Pharmacology and Toxicology,1
Pharmacy,0
Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,0
Pharmacy Technician/Assistant,0
"Pharmacy, Pharmaceutical Sciences, and Administration",0
Philosophy,0
Philosophy And Religious Studies,0
Philosophy and Religious Studies,0
Phlebotomy Technician/Phlebotomist,0
Photobiology,1
Photographic and Film/Video Technology and Assistant,0
Photography,0
Photojournalism,0
Physical Chemistry,1
Physical Education Teaching and Coaching,0
Physical Fitness Technician,0
Physical Medicine and Rehabilitation/Psychiatry,0
Physical Science Technologies,1
Physical Sciences,1
Physical Therapy Technician/Assistant,0
Physical Therapy/Therapist,0
Physical and Biological Anthropology,0
Physical and Rehabilitation Medicine,0
Physician Assistant,0
Physics,1
Physics Teacher Education,0
Physiological Psychology/Psychobiology,1
Physiology,1
"Physiology, Pathology and Related Sciences",0
"Physiology, Pathology, and Related Sciences",1
Pipefitting/Pipefitter and Sprinkler Fitter,0
Planetary Astronomy and Science,1
Plant Genetics,1
Plant Molecular Biology,1
Plant Nursery Operations and Management,0
Plant Pathology/Phytopathology,1
Plant Physiology,1
Plant Protection and Integrated Pest Management,1
Plant Sciences,1
Plasma and High-Temperature Physics,1
Plastic Surgery,0
Plastics and Polymer Engineering Technology,1
Platemaker/Imager,0
Playwriting and Screenwriting,0
Plumbing Technology/Plumber,0
Plumbing and Related Water Supply Services,0
Podiatric Medicine/Podiatry,0
Polarity Therapy,0
Polish Language and Literature,0
Polish Studies,0
Political Communication,0
Political Economy,0
Political Science and Government,0
Polymer Chemistry,1
Polymer/Plastics Engineering,1
Polysomnography,0
Population Biology,1
Portuguese Language and Literature,0
Poultry Science,1
"Practical Nursing, Vocational Nursing and Nursing Assistants",0
Pre-Chiropractic Studies,0
Pre-Dentistry Studies,0
Pre-Engineering,1
Pre-Law Studies,0
Pre-Medicine/Pre-Medical Studies,0
Pre-Nursing Studies,0
Pre-Occupational Therapy Studies,0
Pre-Optometry Studies,0
Pre-Pharmacy Studies,0
Pre-Physical Therapy Studies,0
Pre-Theology/Pre-Ministerial Studies,0
Pre-Veterinary Studies,0
Precision Metal Working,0
Precision Production,0
Precision Production Trades,0
Precision Systems Maintenance and Repair Technologies,0
Prepress/Desktop Publishing and Digital Imaging Design,0
Preventive Medicine,0
Printing Management,0
Printing Press Operator,0
Printmaking,0
"Professional, Technical, Business, and Scientific Writing",0
Programs for Foreign Lawyers,0
Project Management,0
Prosthodontics/Prosthodontology,0
Protective Services Operations,0
Psychiatric/Mental Health Nurse/Nursing,0
Psychiatric/Mental Health Services Technician,0
Psychiatry,0
Psychoanalysis and Psychotherapy,0
Psychology,0
Psychology Teacher Education,0
Psychometrics and Quantitative Psychology,1
Psychopharmacology,1
Public Administration,0
Public Administration And Social Service Professions,0
Public Administration and Social Service Professions,0
Public Finance,0
Public Health,0
Public Health Education and Promotion,0
Public Health Medicine,0
Public Health/Community Nurse/Nursing,0
Public Policy Analysis,0
"Public Relations, Advertising, and Applied Communication",0
Public Relations/Image Management,0
Public/Applied History,0
Publishing,0
Pulmonary Disease,0
Punjabi Language and Literature,0
"Purchasing, Procurement/Acquisitions and Contracts Management",0
Quality Control Technology,1
Quality Control and Safety Technologies,1
Rabbinical Studies,0
Radar Communications and Systems Technology,1
Radiation Biology/Radiobiology,1
Radiation Oncology,0
Radiation Protection/Health Physics Technician,0
Radio and Television,0
Radio and Television Broadcasting Technology,0
"Radio, Television, and Digital Communication",0
Radioisotopic Pathology,0
Radiologic Technology/Science - Radiographer,0
Radiologist Assistant,0
Railroad and Railway Transportation,0
Range Science and Management,1
Reading,0
Reading Teacher Education,0
Real Estate,0
Real Estate Development,0
Receptionist,0
Recording Arts Technology,0
Recreation Vehicle (RV) Service Technician,0
"Regional Studies (US, Canadian, Foreign)",0
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",0
Registered Nursing/Registered Nurse,0
Regular/General High School/Secondary Diploma Program,0
Rehabilitation Aide,0
Rehabilitation Science,0
Rehabilitation and Therapeutic Professions,0
Reiki,0
Religion/Religious Studies,0
Religious Education,0
Religious/Sacred Music,0
Renal/Dialysis Technologist,0
Reproductive Biology,1
Research Methodology and Quantitative Methods,0
Research and Development Management,0
Research and Experimental Psychology,1
Residency Programs,0
Resort Management,0
Respiratory Care Therapy/Therapist,0
Respiratory Therapy Technician/Assistant,0
"Restaurant, Culinary, and Catering Management/Manager",0
Restaurant/Food Services Management,0
Retail Management,0
Retailing and Retail Operations,0
Rhetoric and Composition,0
Rhetoric and Composition/Writing Studies,0
Rheumatology,0
Robotics Technology,1
"Romance Languages, Literatures, and Linguistics",0
Romanian Language and Literature,0
Roofer,0
Rural Sociology,0
Russian Language and Literature,0
Russian Studies,0
"Russian, Central European, East European and Eurasian Studies",0
Sales and Marketing Operations/Marketing and Distribution  Teacher Education,0
"Sales, Distribution, and Marketing Operations",0
Salon/Beauty Salon Management/Manager,0
"Sanskrit and Classical Indian Languages, Literatures, and Linguistics",0
"Scandinavian Languages, Literatures, and Linguistics",0
Scandinavian Studies,0
School Librarian/School Library Media Specialist,0
School Psychology,0
Science Teacher Education/General Science Teacher Education,0
Science Technologies,1
Science Technologies/Technicians,0
"Science, Technology and Society",0
Sculpture,0
Second Language Learning,0
Secondary Education and Teaching,0
Secondary School Administration/Principalship,0
Securities Services Administration/Management,0
Security Policy and Strategy,0
"Security System Installation, Repair, and Inspection Technology",0
Security and Loss Prevention Services,0
Self-Awareness and Personal Assessment,0
Self-Esteem and Values Clarification,0
Selling Skills and Sales Operations,0
Semiconductor Manufacturing Technology,1
Sheet Metal Technology/Sheetworking,0
"Shoe, Boot and Leather Repair",0
Sign Language Interpretation and Translation,0
Signal/Geospatial Intelligence,1
"Slavic Languages, Literatures, and Linguistics",0
Slavic Studies,0
"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics",0
"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics",0
Slovak Language and Literature,0
Small Business Administration/Management,0
Small Engine Mechanics and Repair Technology,0
Small/Companion Animal Surgery and Medicine,0
Social Psychology,1
Social Science Teacher Education,0
Social Sciences,0
Social Studies Teacher Education,0
Social Work,0
Social and Philosophical Foundations of Education,0
Sociology,0
Sociology and Anthropology,0
Soil Chemistry and Physics,1
Soil Microbiology,1
Soil Science and Agronomy,1
Soil Sciences,1
Solar Energy Technology,1
Somatic Bodywork,0
Somatic Bodywork and Related Therapeutic Services,0
"South Asian Languages, Literatures, and Linguistics",0
South Asian Studies,0
"Southeast Asian Languages, Literatures, and Linguistics",0
Southeast Asian Studies,0
"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics",0
Space Systems Operations,1
Spanish Language Teacher Education,0
Spanish Language and Literature,0
Spanish and Iberian Studies,0
Special Education and Teaching,0
Special Products Marketing Operations,0
"Special, Irregular and Counterterrorist Operations",0
"Specialized Merchandising, Sales, and Marketing Operations",0
"Specialized Sales, Merchandising and Marketing Operations",0
Speech Communication and Rhetoric,0
Speech Teacher Education,0
Speech and Rhetorical Studies,0
Speech-Language Pathology Assistant,0
Speech-Language Pathology/Pathologist,0
Sport and Fitness Administration/Management,0
Sports Communication,0
Sports Medicine,0
Sports Studies,0
Sports and Exercise,0
Statistics,1
Sterile Processing Technology,0
Strategic Intelligence,1
Strategic Studies,0
Stress Management and Coping Skills,0
Stringed Instruments,0
Structural Biology,1
Structural Engineering,1
Student Counseling and Personnel Services,0
Substance Abuse/Addiction Counseling,0
Superintendency and Educational System Administration,0
Surgical Technology/Technologist,0
Surveying Engineering,1
Surveying Technology/Surveying,1
Suspension and Debarment Investigation,0
Sustainability Studies,1
Swedish Language and Literature,0
"System, Networking, and LAN/WAN Management/Manager",1
Systematic Biology/Biological Systematics,1
Systems Engineering,1
Systems Science and Theory,1
Talmudic Studies,0
Tamil Language and Literature,0
Tax Law/Taxation,0
Taxation,0
Taxidermy/Taxidermist,0
Teacher Assistant/Aide,0
"Teacher Education and Professional Development, Specific Levels and Methods",0
"Teacher Education and Professional Development, Specific Subject Areas",0
"Teacher Education, Multiple Levels",0
Teaching Assistants/Aides,0
Teaching English as a Second or Foreign Language/ESL Language Instructor,0
Teaching English or French as a Second or Foreign Language,0
Teaching French as a Second or Foreign Language,0
Technical Teacher Education,0
Technical Theatre/Theatre Design and Technology,0
Technical and Business Writing,0
Technical and Scientific Communication,0
Technology Education/Industrial Arts,0
Technology Education/Industrial Arts Programs,0
Technology Teacher Education/Industrial Arts Teacher Education,0
Telecommunications Engineering,1
Telecommunications Management,0
Telecommunications Technology,1
Terrorism and Counterterrorism Operations,0
Textile Science,0
Textile Sciences and Engineering,1
Thai Language and Literature,0
"Theatre Literature, History and Criticism",0
Theatre/Theater,0
Theatre/Theatre Arts Management,0
Theological and Ministerial Studies,0
Theology And Religious Vocations,0
Theology and Religious Vocations,0
Theology/Theological Studies,0
Theoretical Chemistry,1
Theoretical and Mathematical Physics,1
Therapeutic Recreation/Recreational Therapy,0
Thoracic Surgery,0
Tibetan Language and Literature,0
Tibetan Studies,0
Tool and Die Technology,0
Topology and Foundations,1
Tourism Promotion Operations,0
Tourism and Travel Services Management,0
Tourism and Travel Services Marketing Operations,0
Toxicology,1
Trade and Industrial Teacher Education,0
Traditional Chinese Medicine and Chinese Herbology,0
"Traffic, Customs, and Transportation Clerk",0
Transportation And Materials Moving,0
Transportation and Highway Engineering,1
Transportation and Materials Moving,0
Transportation/Mobility Management,0
Travel and Exploration,0
Truck and Bus Driver/Commercial Vehicle Operator and Instructor,0
Turf and Turfgrass Management,0
"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics",0
Turkish Language and Literature,0
Ukraine Studies,0
Ukrainian Language and Literature,0
Undersea Warfare,1
Upholstery/Upholsterer,0
Ural-Altaic and Central Asian Studies,0
"Uralic Languages, Literatures, and Linguistics",0
Urban Education and Leadership,0
Urban Forestry,1
Urban Ministry,0
Urban Studies/Affairs,0
Urdu Language and Literature,0
Urology,0
Vascular Surgery,0
Vehicle Emissions Inspection and Maintenance Technology,0
Vehicle Maintenance and Repair Technologies,0
Vehicle and Vehicle Parts and Accessories Marketing Operations,0
Veterinary Anatomy,1
Veterinary Biomedical and Clinical Sciences,0
Veterinary Infectious Diseases,1
Veterinary Medicine,0
Veterinary Microbiology and Immunobiology,1
Veterinary Pathology and Pathobiology,1
Veterinary Physiology,1
"Veterinary Preventive Medicine, Epidemiology, and Public Health",0
Veterinary Sciences/Veterinary Clinical Sciences,0
Veterinary Toxicology and Pharmacology,1
Veterinary/Animal Health Technology and Veterinary Assistant,0
Vietnamese Language and Literature,0
Virology,1
Vision Science/Physiological Optics,1
Visual And Performing Arts,0
Visual and Performing Arts,0
Viticulture and Enology,0
Vocational High School and Secondary Business/Vocational-Industrial/Occupational Diploma Program,0
Vocational Rehabilitation Counseling/Counselor,0
Voice and Opera,0
Waldorf/Steiner Teacher Education,0
Watchmaking and Jewelrymaking,0
Water Quality and Wastewater Treatment Management and Recycling Technology,1
Water Resources Engineering,1
"Water, Wetlands, and Marine Resources Management",1
Weapons of Mass Destruction,0
"Web Page, Digital/Multimedia and Information Resources Design",1
Web/Multimedia Management and Webmaster,1
Welding Engineering Technology,1
Welding Technology/Welder,0
Well Drilling/Driller,0
Western European Studies,0
Wildland/Forest Firefighting and Investigation,0
Wildlife Biology,1
Wildlife and Wildlands Science and Management,0
"Wildlife, Fish and Wildlands Science and Management",1
Wine Steward/Sommelier,0
Women's Health Nurse/Nursing,0
Women's Ministry,0
Women's Studies,0
Wood Science and Wood Products/Pulp and Paper Technology,1
Woodwind Instruments,0
Woodworking,0
Word Processing,0
Work and Family Studies,0
Workforce Development and Training,0
Writing,0
Yoga Teacher Training/Yoga Therapy,0
Youth Ministry,0
Youth Services/Administration,0
Zoology/Animal Biology,1
